Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,report_number,local_case_number_x,agency_name_x,acrs_report_type_x,crash_date_time_x,route_type_x,road_name_x,cross_street_type_x,cross_street_name_x,off_road_description_x,municipality_x,related_non_motorist_x,collision_type_x,weather_x,surface_condition_x,light_x,traffic_control_x,driver_substance_abuse_x,non_motorist_substance_abuse_x,person_id,pedestrian_type,pedestrian_movement,pedestrian_actions,pedestrian_location,pedestrian_obeyed_traffic_signal,pedestrian_visibility,at_fault_x,injury_severity,safety_equipment,latitude_x,longitude_x,geolocation_x,crashdate,year,on_offroad,serious_fatal_injury,crashtime,day_night,month,season,dartdash,pedestrian_yes_no,at_fault_binary,weekday_day,weekdays_y_n,county_road,hit_run,mile_point,mile_point_direction,lane_direction,lane_number,lane_type,number_of_lanes,direction,distance,distance_unit,road_grade,nontraffic,first_harmful_event,second_harmful_event,fixed_oject_struck,junction,intersection_type,intersection_area,road_alignment,road_condition,road_division,Reportnumber,NonMotoristSex,NonMotoristDOB,age,adult_yes_no,agegroup,month_year,Name,FolderPath,SymbolID,AltMode,Base,Clamped,Extruded,Snippet,PopupInfo,BUFF_DIST,ORIG_FID,COUNT,ObjectId,GeogName,ActName,Shape_Length,Shape_Area
0,1,0,1,MCP3244002W,0.000000000000000,,,,,,,,,,,,,,,,,,724E4C2F-B940-49D8-9DED-D68DF06CD369,BICYCLIST,Walking/Cycling on Sidewalk,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,N/A,,NO APPARENT INJURY,NONE,0.000000000000000,0.000000000000000,,12/5/2023,2023,On road,not serious/fatal,12:07:00,day,12,winter,not dart dash,small wheeled thing,,,weekday,Not county,No,3.71,East,East,2,,4,East,0,FEET,LEVEL,No,BICYCLE,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",MCP3244002W,M,6/6/1994,29,Adult,19+,2023-12,,,,,,,,,,,,7270.000000000000000,1,,,,
0,2,2,2,MCP3123006N,0.000000000000000,,,,,,,,,,,,,,,,,,D14DD185-0BA5-426D-837D-AEC92B908196,PEDESTRIAN,Push/Work on Vehicle,NO IMPROPER ACTIONS,OTHER,OTHER,N/A,,SUSPECTED SERIOUS INJURY,N/A,0.000000000000000,0.000000000000000,,12/4/2023,2023,On road,serious/fatal,11:58:00,day,12,winter,not dart dash,pedestrian,,,weekday,County,No,10.16,North,South,2,,3,North,50,FEET,LEVEL,No,OTHER VEHICLE,OTHER VEHICLE,N/A,INTERSECTION RELATED,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP3123006N,M,12/18/1966,57,Adult,19+,2023-12,,,,,,,,,,,,7270.000000000000000,2,333 - WALK AREA,333 - BANNEKER MS REGULAR,,
0,3,0,3,MCP3258003J,0.000000000000000,,,,,,,,,,,,,,,,,,20A55BEB-C020-4FBC-9265-D75BFF816B86,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,DARK CLOTHING,,POSSIBLE INJURY,N/A,0.000000000000000,0.000000000000000,,12/2/2023,2023,Off road,not serious/fatal,10:21:00,day,12,winter,not dart dash,pedestrian,,,weekend,Not county,No,NA,,,0,,0,,NA,,,Yes,PEDESTRIAN,N/A,N/A,,,,,,,MCP3258003J,F,8/30/1972,51,Adult,19+,2023-12,,,,,,,,,,,,,3,,,,
0,4,0,4,MCP2102004H,0.000000000000000,,,,,,,,,,,,,,,,,,A0F093D4-59F3-473A-877C-CB400F52005B,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,N/A,REFLECTIVE MATERIAL,,SUSPECTED SERIOUS INJURY,MC/BIKE HELMET,0.000000000000000,0.000000000000000,,12/2/2023,2023,On road,serious/fatal,7:32:00,day,12,winter,not dart dash,small wheeled thing,,,weekend,County,Yes,1.23,North,South,1,,1,North,0,FEET,GRADE DOWNHILL,No,BICYCLE,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",MCP2102004H,M,1/31/1962,61,Adult,19+,2023-12,,,,,,,,,,,,7270.000000000000000,4,,,,
0,5,2,5,MCP3245004S,0.000000000000000,,,,,,,,,,,,,,,,,,1148C805-13E0-452B-9EB7-4B70BA57C9FB,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,N/A,DARK CLOTHING,,POSSIBLE INJURY,NONE,0.000000000000000,0.000000000000000,,12/1/2023,2023,On road,not serious/fatal,19:25:00,day,12,winter,not dart dash,pedestrian,,,weekday,Not county,No,14.86,North,South,0,LEFT TURN LANE,4,North,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,T-INTERSECTION,,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",MCP3245004S,M,3/14/1985,38,Adult,19+,2023-12,,,,,,,,,,,,7270.000000000000000,5,554 - WALK AREA,554 - GAITHERSBURG MS REGULAR,,
0,6,3,6,MCP3245004R,0.000000000000000,,,,,,,,,,,,,,,,,,32B135B1-C371-4A82-AEB1-C74424381BDF,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,N/A,MIXED CLOTHING,,POSSIBLE INJURY,NONE,0.000000000000000,0.000000000000000,,12/1/2023,2023,Off road,not serious/fatal,17:14:00,day,12,winter,not dart dash,pedestrian,,,weekday,Not county,No,NA,,,0,,0,,NA,,,Yes,PEDESTRIAN,N/A,N/A,,,,,,,MCP3245004R,F,2/15/1998,25,Adult,19+,2023-12,,,,,,,,,,,,,6,244 - WALK AREA,244 - MARSHALL ES REGULAR,,
0,7,1,7,MCP31930056,0.000000000000000,,,,,,,,,,,,,,,,,,FC9D550A-950A-49DA-9E4C-CDE366BA8038,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,DARK CLOTHING,,SUSPECTED MINOR INJURY,NONE,0.000000000000000,0.000000000000000,,11/30/2023,2023,On road,not serious/fatal,22:55:00,night,11,fall,not dart dash,pedestrian,,,weekday,Not county,No,3.47,North,South,2,,3,North,0,FEET,LEVEL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,,STRAIGHT,NO DEFECTS,OTHER,MCP31930056,M,7/23/1973,50,Adult,19+,2023-11,,,,,,,,,,,,,7,789 - WALK AREA,789 - EINSTEIN HS REGULAR,,
0,8,0,8,MCP31680063,0.000000000000000,,,,,,,,,,,,,,,,,,6B8020BD-4DDD-448F-97E6-B52485BD45B3,OTHER,Other,NO IMPROPER ACTIONS,OTHER,N/A,N/A,,NO APPARENT INJURY,N/A,0.000000000000000,0.000000000000000,,11/30/2023,2023,On road,not serious/fatal,18:13:00,day,11,fall,not dart dash,small wheeled thing,,,weekday,County,No,5.3,North,East,3,,3,North,0,FEET,GRADE DOWNHILL,No,OTHER VEHICLE,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP31680063,M,2/15/1965,58,Adult,19+,2023-11,,,,,,,,,,,,7270.000000000000000,8,,,,
0,9,1,9,MCP3353001Z,0.000000000000000,,,,,,,,,,,,,,,,,,2259BC33-1276-46BF-A263-15A1B7E079E5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,N/A,N/A,,POSSIBLE INJURY,N/A,0.000000000000000,0.000000000000000,,11/30/2023,2023,Off road,not serious/fatal,16:19:00,day,11,fall,not dart dash,pedestrian,,,weekday,Not county,No,NA,,,0,,0,,NA,,,Yes,PEDESTRIAN,N/A,N/A,,,,,,,MCP3353001Z,F,6/11/1961,62,Adult,19+,2023-11,,,,,,,,,,,,,9,782 - WALK AREA,782 - WHEATON HS REGULAR,,
1,10,0,10,MCP2871009C,0.000000000000000,,,,,,,,,,,,,,,,,,F844D7FB-FF91-4FAA-9C03-4F3DEA4F3096,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,,POSSIBLE INJURY,NONE,0.000000000000000,0.000000000000000,,11/28/2023,2023,On road,not serious/fatal,18:07:00,day,11,fall,dart dash,pedestrian,,,weekday,County,No,3.22,North,North,2,,2,North,0,FEET,HILL UPHILL,No,PEDESTRIAN,N/A,N/A,INTERSECTION,FOUR-WAY INTERSECTION,N/A,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",MCP2871009C,F,9/20/2001,22,Adult,19+,2023-11,Placemark,MoCo_SZ_Copy_Apr_23/MoCo_SZ_Copy_Apr_23,0,0,0.000000000000000,-1,0,,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:msxsl=""urn:schemas-microsoft-com:xslt"">
<head>
<META http-equiv=""Content-Type"" content=""text/html"">
<meta http-equiv=""content-type"" content=""text/html; charset=UTF-8"">
</head>
<body style=""margin:0px 0px 0px 0px;overflow:auto;background:#FFFFFF;"">
<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-collapse:collapse;padding:3px 3px 3px 3px"">
<tr style=""text-align:center;font-weight:bold;background:#9CBCE2"">
<td></td>
</tr>
<tr>
<td>
<table style=""font-family:Arial,Verdana,Times;font-size:12px;text-align:left;width:100%;border-spacing:0px; padding:3px 3px 3px 3px"">
<tr>
<td>OBJECTID_1</td>
<td>147</td>
</tr>
</table>
</td>
</tr>
</table>
</body><script type=""text/javascript"">
				function changeImage(attElement, nameElement) {
				document.getElementById('imageAttachment').src = attElement;
				document.getElementById('imageName').innerHTML = nameElement;}
			</script></html>
",100.000000000000000,137,,10,,,,
